"Title","Company","Location","city","state"
"VP Analytics","C&G Consulting","Cedar Knolls, NJ","Cedar Knolls","NJ"
"Marketing Analytics Analyst","Fountain Group","Northbrook, IL","Northbrook","IL"
"Web Developer - Senior","Bowhead","Washington, DC","Washington","DC"
"Business Systems Analyst","Abt Associates","Bethesda, MD","Bethesda","MD"
"Software Engineer","Ask Staffing","Alpharetta, GA","Alpharetta","GA"
"Database Engineer","Pinnacle Group","Frisco, TX","Frisco","TX"
"Intelligence Systems Engineer","DECISIVE ANALYTICS CORPORATION","Quantico, VA","Quantico","VA"
"Data Analyst","The Bartech Group","Dearborn, MI","Dearborn","MI"
"Staff Data Engineer","Seagate","Longmont, CO","Longmont","CO"
"IT Account Manager","System Soft Technologies","Charleston, SC","Charleston","SC"
"SAAS Sales Executive","Matlen Silver","Atlanta, GA","Atlanta","GA"
"Enterprise Data Manager","AppleOne","Summerville, SC","Summerville","SC"
"Data Architect","Collins Consulting, Inc.","Washington, DC","Washington","DC"
"Cyber Defense Scientist/Mathematician","Bluemont Technology & Research, Inc.","College Park, MD","College Park","MD"
"Assistant Director, Analytics and Decision Support**","Excelsior College","Albany, NY","Albany","NY"
"Software Architect","GBL Systems Corporation","Camarillo, CA","Camarillo","CA"
"Deep Learning Consultant","NVIDIA Corporation","Santa Clara, CA","Santa Clara","CA"
"Cloud Development Architect/Manager","Goodman Manufacturing Company","Waller, TX","Waller","TX"
"Business Intelligence Analyst","EDI Specialists, Inc.","Lansing, NY","Lansing","NY"
"Information Technology positions - Active TS/SCI with Full Scope Polygraph","3D Tek, Inc.","Reston, VA","Reston","VA"
"Business Unit Controller Senior","FREDDIE MAC","McLean, VA","McLean","VA"
"Big Data Architect","CGI","Cleveland, OH","Cleveland","OH"
"Sr. Back-end Engineer (Ruby)","Thompson Technologies","Atlanta, GA","Atlanta","GA"
"Data Engineer","BridgeView IT","Denver, CO","Denver","CO"
"UI Developer","RCM Technologies","Los Angeles, CA","Los Angeles","CA"
"Engineer","The Josef Group","Herndon, VA","Herndon","VA"
"Senior Interaction Designer, Greenfield Labs","Ford Motor Company","Palo Alto, CA","Palo Alto","CA"
"Software Engineer / Senior Software Engineer / Sof","Collabera","Cedar Rapids, IA","Cedar Rapids","IA"
"Report and Analytic Developer","Solutions Point","Topeka, KS","Topeka","KS"
